fid,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel
102525,"341587157",5154,path,,,B,0,0,F,F
102526,"341587235",5154,path,,,B,0,0,F,F
102540,"341587803",5122,residential,,,B,0,0,F,F
102541,"341587804",5122,residential,,,B,0,0,F,F
102542,"341587805",5122,residential,,,B,0,0,F,F
102543,"341587806",5122,residential,,,B,0,0,F,F
102544,"341587939",5154,path,,,B,0,0,F,F
102545,"341587950",5141,service,,,B,0,0,F,F
102546,"341588019",5154,path,,,B,0,0,F,F
102558,"341588064",5142,track,,,B,0,0,F,F
102564,"341588146",5154,path,,,B,0,0,F,F
102567,"341588604",5121,unclassified,,,B,0,0,F,F
102568,"341588622",5154,path,,,B,0,0,F,F
102569,"341588651",5154,path,,,B,0,0,F,F
102577,"341588778",5154,path,,,B,0,0,F,F
102597,"341589762",5154,path,,,B,0,0,F,F
102598,"341589966",5122,residential,,,B,0,0,F,F
102599,"341589968",5122,residential,,,B,0,0,F,F
102600,"341589971",5122,residential,,,B,0,1,T,F
102601,"341589973",5122,residential,,,B,0,0,F,F
102602,"341589976",5122,residential,,,B,0,0,F,F
102610,"341590107",5154,path,,,B,0,0,F,F
102611,"341590281",5122,residential,,,B,0,0,F,F
102612,"341590282",5122,residential,,,B,0,0,F,F
102627,"341590976",5122,residential,,,B,0,0,F,F
102628,"341591349",5121,unclassified,,,B,0,0,F,F
102629,"341591629",5141,service,,,B,0,0,F,F
102630,"341591630",5122,residential,,,B,0,0,F,F
102631,"341591632",5141,service,,,B,0,0,F,F
102668,"341593572",5121,unclassified,,,B,0,0,F,F
102702,"341594402",5122,residential,,,B,0,0,F,F
102703,"341594403",5122,residential,,,B,0,0,F,F
102771,"341596615",5121,unclassified,,,B,0,0,F,F
102781,"341596940",5142,track,,,B,0,0,F,F
102782,"341596941",5122,residential,,,B,0,0,F,F
102783,"341596942",5122,residential,,,B,0,0,F,F
102784,"341596943",5122,residential,,,B,0,0,F,F
102785,"341596944",5122,residential,,,B,0,0,F,F
102786,"341596945",5122,residential,,,B,0,0,F,F
102795,"341597702",5122,residential,,,B,0,0,F,F
102796,"341597703",5122,residential,,,B,0,0,F,F
102797,"341597764",5122,residential,,,B,0,0,F,F
102799,"341598022",5122,residential,,,B,0,0,F,F
102800,"341598023",5142,track,,,B,0,0,F,F
102801,"341598024",5122,residential,,,B,0,0,F,F
102802,"341598025",5122,residential,swastik marg,,B,0,0,F,F
102803,"341598026",5121,unclassified,,,B,0,0,F,F
102804,"341598027",5122,residential,,,B,0,0,F,F
102805,"341598028",5142,track,,,B,0,0,F,F
102806,"341598029",5122,residential,,,B,0,0,F,F
102807,"341598030",5122,residential,,,B,0,0,F,F
102808,"341598031",5122,residential,,,B,0,0,F,F
102809,"341598032",5122,residential,,,B,0,0,F,F
102810,"341598033",5122,residential,,,B,0,0,F,F
102811,"341598034",5141,service,,,B,0,0,F,F
